date,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,rain_sum,snowfall_sum,pressure_msl_mean
1950-05-17 00:00:00+00:00,23.055944,9.486196,88.93659,45.647457,,,1014.5588
1950-05-18 00:00:00+00:00,19.128212,11.67841,96.02743,52.710358,,,1014.3248
1950-05-19 00:00:00+00:00,14.850476,10.620625,93.118256,68.773254,,,1011.49097
1950-05-20 00:00:00+00:00,14.122738,7.762839,91.20908,58.83615,,,1010.5571
1950-05-21 00:00:00+00:00,14.145003,6.655053,92.29991,54.899048,,,1016.62317
1950-05-22 00:00:00+00:00,14.817268,5.5972676,87.39074,42.96195,,,1021.4893
1950-05-23 00:00:00+00:00,16.439533,4.7894816,91.48157,60.024845,,,1015.5555
1950-05-24 00:00:00+00:00,17.761799,7.6816964,87.572395,36.087746,,,1013.6215
1950-05-25 00:00:00+00:00,16.534063,6.67391,92.663216,71.150635,,,1015.88776
1950-05-26 00:00:00+00:00,19.70633,9.966125,96.75404,65.21355,,,1013.35376
1950-05-27 00:00:00+00:00,20.978592,9.808337,98.84487,66.27644,,,1013.5199
1950-05-28 00:00:00+00:00,23.45086,13.250552,100.0,58.33934,,,1015.7861
1950-05-29 00:00:00+00:00,24.673122,14.392766,92.026535,43.402237,,,1015.3521
1950-05-30 00:00:00+00:00,24.04539,14.484982,92.11737,57.465137,,,1015.81824
1950-05-31 00:00:00+00:00,24.067652,15.327195,94.20819,61.528034,,,1015.1844
1950-06-01 00:00:00+00:00,25.539917,14.819409,97.29902,52.590927,,,1013.3505
1950-06-02 00:00:00+00:00,22.012182,16.111624,96.38985,81.653824,,,1012.0166
1950-06-03 00:00:00+00:00,25.934448,14.403838,95.480675,48.716732,,,1011.0828
1950-06-04 00:00:00+00:00,25.606712,14.996052,89.5715,52.779625,,,1013.3488
1950-06-05 00:00:00+00:00,23.328974,13.838266,93.66232,48.842525,,,1017.315
1950-06-06 00:00:00+00:00,25.95124,13.98048,82.75316,40.905426,,,1016.48114
1950-06-07 00:00:00+00:00,20.973509,12.022695,83.84399,37.968323,,,1020.64716
1950-06-08 00:00:00+00:00,19.545774,12.564909,70.934814,52.03122,,,1018.31323
1950-06-09 00:00:00+00:00,18.068035,12.007123,92.02565,66.09412,,,1012.2794
1950-06-10 00:00:00+00:00,20.1403,11.499338,94.11646,72.15701,,,1011.8455
1950-06-11 00:00:00+00:00,22.862564,13.841552,97.2073,63.219917,,,1016.0116
1950-06-12 00:00:00+00:00,25.88483,15.733767,85.29813,37.282814,,,1021.1778
1950-06-13 00:00:00+00:00,23.507095,14.82598,82.38895,59.345715,,,1021.94385
1950-06-14 00:00:00+00:00,25.279362,15.318195,77.47978,47.408615,,,1017.11005
1950-06-15 00:00:00+00:00,25.401625,14.710409,83.5706,47.47151,,,1010.5762
1950-06-16 00:00:00+00:00,19.02389,12.752624,81.66144,37.53441,,,1011.44226
1950-06-17 00:00:00+00:00,21.496155,11.494838,77.752266,45.597305,,,1015.5083
1950-06-18 00:00:00+00:00,26.66842,12.487051,79.843094,40.660206,,,1015.07446
1950-06-19 00:00:00+00:00,21.140686,12.979266,83.93392,33.723106,,,1022.9407
1950-06-20 00:00:00+00:00,25.562948,12.121481,78.02474,39.786003,,,1022.0067
1950-06-21 00:00:00+00:00,23.335215,14.313695,79.11558,41.848904,,,1023.17285
1950-06-22 00:00:00+00:00,22.40748,12.90591,77.206406,35.9118,,,1029.939
